duration,severity,affected,magnitude,dead
51,1.5,58589.17,6.7,0
7,1.5,305.538,3.5,0
32,1,4327.09,5.1,0
41,2,619077.86,7.7,1
2,1,8257.4,4.2,1
13,1,51188.84,5.8,0
3,1.5,145020.41,5.8,150
16,1.5,442536.33,7,65
13,1.5,45883.94,6,15
8,1,176799.06,6.2,65
112,2,129691.63,7.5,1750
5,1,160792.23,5.9,14
3,1,346152.85,6,14
3,1,68318.98,5.3,8
12,2,1049485.12,7.4,1100
3,1,106460.15,5.5,21
1,1,132628.58,5.1,12
1,1,214908.29,5.3,1
3,1.5,10513.16,4.7,1
3,1.5,14176.85,4.8,60
4,1.5,34784.5,5.3,23
6,1.5,176263.75,6.2,15
14,1.5,68346.59,6.2,0
33,1.5,100438.85,6.7,33
3,1,192748.71,5.8,0
17,1.5,235548.21,6.8,0
2,1,78651.79,5.2,0
13,1,24987.26,5.5,0
15,1,575176.16,6.9,600
3,1,55999.09,5.2,7
8,1,396656.67,6.5,15
3,1,12206.49,4.6,0
11,1,147437.23,6.2,98
5,1.5,86589.82,5.8,0
6,1.5,34504.42,5.5,2
8,2,209024.88,6.5,6
3,1,15731.6,4.7,0
3,1,183842.33,5.7,12
3,1,1399.49,3.6,0
9,2,320129.49,6.8,50
3,1,9325.99,4.4,46
5,1,28641.6,5.2,46
21,2,56733.12,6.4,23
5,1,150908.11,5.9,30
12,1,94869.51,6.1,60
2,2,7699.78,4.5,19
3,1.5,6135.21,4.4,2
1,2,12234.56,4.4,20
2,1,59028.73,5.1,23
14,1,174970.1,6.4,0
4,1,22339.98,5,27
3,1,25787.99,4.9,0
7,2,25183.14,5.5,0
7,2,68697.09,6,172
7,1,63171.41,5.6,27
45,1.5,234212.72,7.2,379
43,1.5,23813.35,6.2,0
16,1,19207.85,5.5,20
10,2,121758.8,6.4,12
16,1,6706.99,5,0
17,1.5,196057.68,6.7,100
3,1,24518.72,4.9,0
3,1,23137.24,4.8,24
11,1,65810.91,5.9,70
2,1,38889.73,4.9,7
4,1,79123.97,5.5,30
17,1,103901.84,6.2,0
6,1,64627.58,5.6,0
2,1,19903.73,4.6,0
5,1,10657.92,4.7,0
4,2,13472.46,5,0
3,1,13989.57,4.6,0
2,1,50278.2,5,0
12,1,7062.71,4.9,104
4,1,15005.82,4.8,400
6,1,8862.8,4.7,4
5,1,79653.48,5.6,0
5,2,240301.51,6.4,0
6,1,187689.01,6.1,0
3,1,149970.68,5.7,0
3,1,16885.63,4.7,0
15,1,1015176.36,7.2,0
16,2,323846.84,7,43
31,1,274099.2,6.9,12
8,1,48982.93,5.6,0
58,1.5,40320.05,6.5,26
6,1,75196.57,5.7,0
3,1,57889.66,5.2,7
2,1,46896.64,5,0
11,1,104208.15,6.1,0
17,1,85511.58,6.2,0
18,2,431681.63,7.2,0
35,1,26372.46,6,2
3,1,3836.32,4.1,13
3,2,30834.35,5.3,48
2,1,98474.34,5.3,32
2,2,482.991,3.3,32
8,1,305772,6.4,0
4,2,311949.24,6.4,0
8,1,87346.16,5.8,0
2,2,20651.57,4.9,0
2,1,2791.39,3.7,0
6,2,105873.35,6.1,20
3,1,188865.22,5.8,2
19,1,122621.4,6.4,41
10,1,292808.94,6.5,0
5,1,44179.41,5.3,0
3,1,87777.03,5.4,0
4,1,72703.82,5.5,3
6,2,135281.63,6.2,20
19,1.5,55636.33,6.2,72
5,1.5,103982.65,5.9,3
2,1.5,226050.59,5.8,10
13,1,102220.84,6.1,5
3,1,23337.85,4.8,0
10,1.5,60173.47,6,0
13,1.5,301378.85,6.8,0
24,1,176698.68,6.6,21
10,2,210052.33,6.6,85
7,1,40932.75,5.5,0
4,1,149317.65,5.8,0
2,1,157481.42,5.5,5
3,1,167332.29,5.7,1
2,1,172579,5.5,0
3,1,15648.61,4.7,0
2,1,4708.95,4,3
4,1,314990.21,6.1,0
3,1,114601.3,5.5,116
7,1,37559.51,5.4,0
18,1.5,43485.41,6.1,12
2,1,919.901,3.3,0
2,1,15625.3,4.5,4
2,1.5,1051.3,3.5,0
17,2,106621.91,6.6,0
9,1,415044.91,6.6,0
2,1,39815.5,4.9,0
7,1,14486.49,5,0
4,1,194788.3,5.9,20
2,1,47896.55,5,3
4,1,468142.06,6.3,0
6,1.5,35725.31,5.5,70
2,1,63930.73,5.1,15
3,1,98552.75,5.5,0
3,2,5541.42,4.5,192
12,1.5,44315.33,5.9,0
3,1,14193.55,4.6,0
6,1.5,124931.91,6.1,0
3,1,163340.77,5.7,0
4,1,28284.26,5.1,1
9,1,197665.04,6.3,0
25,1,133560.04,6.5,0
7,1,53018.49,5.6,0
3,1,106325.83,5.5,0
9,2,129718.42,6.4,45
16,2,34498.77,6,438
18,2,309688.88,7,303
2,2,1227.06,3.7,22
1,2,207343.45,5.6,100
4,2,49034.16,5.6,182
7,2,25299.26,5.5,420
2,1,2459.28,3.7,0
4,1.5,47598.33,5.5,17
8,1.5,225395.01,6.4,8
10,2,33560.99,5.8,0
5,2,73811.61,5.9,0
2,2,47760.1,5.3,38
9,2,64200.98,6.1,0
5,2,25504.05,5.4,0
10,1,34563.01,5.5,0
10,2,36440.73,5.9,9
4,2,3687.1,4.5,31
24,1,81300.71,6.3,42
5,1,4814280.64,7.4,12
7,1,59848.91,5.6,5
7,1,13717.1,5,7
3,1,8510.69,4.4,0
10,1,72244.8,5.9,0
13,1,84897.57,6,14
2,1,4744.46,4,0
2,1,24950.18,4.7,10
3,1.5,30560.13,5.1,27
2,1,6534.85,4.1,0
2,1,11893.28,4.4,7
2,1.5,18366.88,4.7,12
4,2,24905.81,5.3,500
4,1.5,30538,5.3,0
2,1.5,24556.64,4.9,20
4,1.5,21198.81,5.1,0
11,1.5,36975.16,5.8,10
2,1,9640.54,4.3,0
3,1,18726.64,4.7,22
2,1,9646.51,4.3,28
10,1,201114.11,6.3,22
3,1,13171.48,4.6,0
3,1.5,11850.39,4.7,16
4,2,138925.64,6,26
2,1,3358.7,3.8,0
4,1,2765.43,4,0
3,1,10367.35,4.5,26
9,1,6060.99,4.7,0
3,1,47243.51,5.2,5
6,1,136568.23,5.9,0
7,1,63616.23,5.6,0
5,1,32700.21,5.2,11
3,1,51611.74,5.2,11
12,1,77546.62,6,5
,,,,
17,1,55064.21,0,0
6,1.5,542051.73,6.7,20
6,1,99876.58,5.8,0
4,1,128962.3,5.7,6
4,1,49031.89,5.3,20
53,1,69855.97,6.6,0
8,1.5,571677.32,6.8,13
6,1,47134.92,5.5,0
4,1,12251.46,4.7,0
4,1,127036.56,5.7,8
3,1,82900.06,5.4,0
3,1,33319.22,5,18
3,1,10724.02,4.5,5
2,1.5,9340.14,4.4,115
26,1.5,27819.11,6,21
7,1.5,13738.76,5.2,21
4,1.5,5754.23,4.5,0
3,1,62468.65,5.3,0
10,1.5,201149.89,6.5,0
3,1,68691.95,5.3,0
8,2,58894.07,6,0
6,1.5,16459.25,5.2,47
38,1.5,21367.43,6.1,0
23,2,484756.54,7.3,39
10,1.5,524373.36,6.9,5
11,1,6812.65,4.9,0
4,1,9797.19,4.6,0
25,1.5,11707.88,5.6,0
9,1,88516.93,5.9,0
4,2,20493.67,5.2,0
2,1.5,82061.7,5.4,0
58,2,56500.67,6.8,150
1,1,1148027.26,6.1,99
2,1,19203.9,4.6,0
28,2,44401.17,6.4,0
3,1,39742.02,5.1,1
19,1,15410.67,5.5,90
6,1,187933.27,6.1,0
8,1,29982.11,5.4,0
4,1,94116.41,5.6,5
15,1.5,56344.38,6.1,1
12,1,21570.89,5.4,0
16,1,167873.59,6.4,0
12,1,20487.47,5.4,0
3,1,7231.78,4.3,2
3,1,61811.59,5.3,1
3,1,85604.33,5.4,6
5,1.5,72654.16,5.7,0
5,1.5,109293.46,5.9,13
2,1.5,117999.31,5.5,0
2,1.5,47811.61,5.2,9
6,1.5,225551.03,6.3,0
11,1,76952.38,5.9,5
12,1.5,15152.49,5.4,24
3,2,188226.85,6.1,5
11,1,8472.93,5,0
6,1,52061.79,5.5,18
